age_type,age,1993,1998,2003,2009,2015
age_5,15-19,,,,,
age_5,20-24,,,,,
age_5,25-29,1964-68,,,,
age_5,30-34,1959-63,1964-68,,,
age_5,35-39,1954-58,1959-63,1964-68,,
age_5,40-44,1949-53,1954-58,1959-63,1964-68,
age_5,45-49,1944-48,1949-53,1954-58,1959-63,1964-68
age_5,50-54,1939-43,1944-48,1949-53,1954-58,1959-63
age_5,55-59,1934-38,1939-43,1944-48,1949-53,1954-58
age_5,60-64,1929-33,1934-38,1939-43,1944-48,1949-53
age_5,65-69,,1929-33,1934-38,1939-43,1944-48
age_5,70-74,,,1929-33,1934-38,1939-43
age_5,75-79,,,,1929-33,1934-38
age_5,80-84,,,,,1929-33
age_10,15-24,1969-78,,1979-88,,1989-98
age_10,25-34,1959-68,,1969-78,,1979-88
age_10,35-44,1949-58,,1959-68,,1969-78
age_10,45-54,1939-48,,1949-58,,1959-68
age_10,55-64,1929-38,,1939-48,,1949-58
age_10,65-74,,,1929-38,,1939-48
age_10,75-84,,,,,1929-38
age_20,25-44,1949-68,,,,
age_20,45-64,1929-48,,,,1949-68
age_20,65-84,,,,,1929-48